text,label
"Produk ini sangat bagus dan pengiriman cepat, puas banget!",positive
"Kualitas bahan premium, harga terjangkau. Recommended seller!",positive
"Barang sesuai deskripsi, packing aman, penjual fast respon.",positive
"Sangat puas dengan pembelian ini, akan order lagi.",positive
"Produk original, persis seperti foto. Top markotop!",positive
"Biasa saja, tidak ada yang istimewa dari produk ini.",neutral
"Harganya sesuai dengan kualitas yang didapat.",neutral
"Lumayan lah, packaging oke tapi pengiriman agak lama.",neutral
"Produk standar, sesuai ekspektasi saya.",neutral
"Tidak terlalu bagus tidak terlalu buruk, mediocre.",neutral
"Sangat kecewa, barang datang rusak dan pelayanan buruk.",negative
"Aplikasinya lambat dan sering error, tidak direkomendasikan.",negative
"Barang tidak sesuai foto, warna berbeda jauh.",negative
"Pengiriman super lama dan CS tidak responsif.",negative
"Kualitas sangat jelek, sudah komplain tapi tidak direspon.",negative
"Pelayanan ramah, produk memuaskan, akan kembali berbelanja.",positive
"Tidak sesuai harapan, terlalu mahal untuk kualitas seperti ini.",negative
"Oke sih, tapi bisa lebih baik kalau packingnya lebih rapi.",neutral
"Mantap! Barang original 100%, sangat puas.",positive
"Kecewa berat, barang palsu dan tidak mau refund.",negative
